State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
MINNESOTA,BROWN COUNTY,3537,3536,3602,3687,3829,1868,1918,1898,1913,1952,1970,1982,2057,1603,1619,1642,1654,1599,1661,1705,1772,3,4,3,3,9,6,10,10,26,30,35,33,36,33,34,34,345,333,335,335,321,339,319,333,22,16,16,21,19,17,19,22,3051,3130,3142,3175,3166,3236,3305,3430,2,1,0,†,†,22,23,9,†,†
KANSAS,BROWN COUNTY,1460,1545,1574,‡,1573,‡,760,763,756,809,814,793,845,‡,729,748,714,750,771,757,763,‡,161,164,155,202,210,232,235,‡,5,5,5,7,7,8,10,‡,76,79,82,50,42,36,44,‡,29,34,32,48,52,54,53,‡,1132,1142,1123,1252,1274,1220,1266,0,1,2,3,†,29,85,85,70,†
INDIANA,BROWN COUNTY,2175,2197,2243,2293,2272,1050,1065,1094,1119,1143,1167,1219,1209,986,995,1005,1012,1016,1037,1041,1063,19,19,16,8,6,5,4,1,19,12,11,12,13,13,10,12,26,17,11,6,6,6,5,7,3,5,3,3,5,4,8,6,1904,1946,2005,2102,2129,2176,2233,2246,2,0,0,†,†,63,61,53,†,†
OHIO,BROWN COUNTY,7764,8209,8227,‡,8416,3784,3890,3962,3962,4126,4125,4182,4248,3615,3677,3780,3861,3976,4014,4059,4136,3,6,5,8,6,5,5,5,15,14,21,19,33,19,14,15,57,60,54,24,15,13,17,6,60,54,59,35,45,41,53,64,7146,7318,7489,7737,8003,8061,8152,8294,5,3,5,†,†,113,112,109,†,†
NEBRASKA,BROWN COUNTY,505,500,500,502,539,253,253,260,258,259,262,268,286,245,254,257,247,241,238,234,253,10,8,6,8,5,3,2,3,1,2,1,2,2,3,5,2,5,9,15,15,20,23,7,10,1,0,0,3,1,0,0,0,477,484,487,477,472,471,488,524,0,0,0,†,†,4,4,8,†,†
TEXAS,BROWN COUNTY,7042,6880,7156,7412,7359,3465,3457,3592,3569,3571,3725,3888,3862,3281,3366,3398,3432,3379,3464,3525,3498,27,38,30,34,24,31,24,24,40,40,30,30,29,31,23,29,2086,2064,2084,1956,1848,1879,1947,1893,320,334,354,430,420,491,546,533,4129,4215,4360,4551,4629,4757,4873,4881,5,5,5,†,†,139,127,127,†,†
SOUTH DAKOTA,BROWN COUNTY,5001,5058,‡,4938,4859,2688,2579,2614,2549,2563,2438,2478,2502,2613,2555,2513,2492,2518,2398,2399,2357,302,308,296,288,292,262,265,292,78,55,46,51,53,39,35,38,116,76,67,54,60,57,60,58,92,72,69,66,68,59,59,51,4622,4568,4617,4582,4608,4419,4458,4420,14,12,15,†,†,77,43,17,†,†
SOUTH DAKOTA,BRULE COUNTY,1125,1153,1198,1177,1160,596,595,579,564,589,601,619,605,595,610,599,583,588,590,558,555,300,301,286,315,301,322,308,277,5,7,6,8,11,13,10,11,40,34,34,13,15,8,2,3,3,4,2,5,4,3,3,2,788,799,785,806,846,845,854,867,1,1,1,†,†,54,59,64,†,†
NORTH CAROLINA,BRUNSWICK COUNTY,12970,12710,12556,12433,12041,6784,6764,6756,6625,6398,6158,6121,6125,6474,6423,6419,6330,6184,5911,5861,5916,122,116,127,104,113,114,118,103,86,82,71,78,65,59,47,31,1348,1272,1225,991,941,916,823,654,2068,2111,2216,2843,2782,2293,2319,2701,9079,9098,9045,8939,8681,8687,8675,8552,9,7,9,†,†,546,501,482,†,†
VIRGINIA,BRUNSWICK COUNTY,2186,2167,2256,2260,2260,1033,1049,1087,1121,1121,1158,1157,1159,943,981,1010,1065,1042,1096,1102,1100,1,2,1,55,1,0,1,0,3,6,5,6,4,4,3,3,53,47,41,28,27,27,26,28,1537,1590,1666,1680,1707,1765,1784,1782,369,380,381,417,424,458,445,446,1,0,0,†,†,12,5,3,†,†
OKLAHOMA,BRYAN COUNTY,7207,7063,7075,7045,7008,3851,3793,3756,3618,3596,3607,3564,3579,3615,3621,3578,3435,3479,3511,3526,3479,2416,2417,2636,2615,2608,2669,2733,2659,51,50,64,67,70,53,47,52,474,443,371,361,325,305,287,239,138,153,156,161,155,142,104,113,4140,4166,4074,3849,3917,3949,3919,3995,13,16,11,†,†,234,169,22,†,†
GEORGIA,BRYAN COUNTY,7300,7054,6720,6481,6239,4208,4151,3988,3822,3511,3348,3282,3142,3792,3664,3576,3478,3173,3049,2947,2879,17,14,15,17,14,14,14,13,174,169,160,161,152,118,101,98,512,454,431,357,255,190,173,162,1304,1300,1261,1221,1127,1040,1050,1041,5633,5592,5465,5361,5136,5035,4891,4707,16,13,9,4,†,344,273,223,179,†
IOWA,BUCHANAN COUNTY,2955,2853,2864,2841,2922,1678,1664,1630,1645,1650,1641,1626,1623,1552,1548,1511,1495,1496,1499,1485,1527,3,4,4,6,11,10,13,15,13,16,12,16,32,31,29,27,77,67,47,42,42,38,33,31,10,12,14,6,30,27,24,20,3072,3065,3030,3034,3031,3034,3012,3057,1,1,1,0,†,54,47,33,36,†
MISSOURI,BUCHANAN COUNTY,12819,12815,12820,12798,12613,6840,6757,6734,6771,6781,6795,6703,6649,6248,6270,6272,6316,6292,6281,6347,6242,43,58,56,55,57,59,61,61,160,152,144,146,114,126,128,115,810,758,681,740,689,681,608,375,1094,1142,1227,1231,1172,1109,1059,1032,10586,10719,10871,10915,11041,11101,11194,11308,37,21,3,†,†,358,177,24,†,†
VIRGINIA,BUCHANAN COUNTY,3386,3399,3475,3435,3500,1706,1707,1624,1640,1656,1693,1781,1835,1575,1603,1503,1529,1539,1555,1649,1664,1,1,2,1,0,0,0,0,2,2,2,2,1,2,0,0,6,7,8,0,0,2,2,1,5,4,3,2,4,3,1,2,3257,3290,3105,3164,3190,3241,3427,3496,1,0,0,†,†,9,6,7,†,†
VIRGINIA,BUCKINGHAM COUNTY,2042,2068,2104,2150,2218,1109,1094,1080,1065,1082,1084,1098,1137,1012,965,955,973,985,1016,1049,1081,0,1,1,1,1,1,1,2,7,7,7,9,8,6,3,5,66,61,44,23,22,21,17,13,779,746,750,840,883,947,958,1030,1143,1124,1117,1165,1153,1125,1168,1168,0,0,1,†,†,126,120,115,†,†
PENNSYLVANIA,BUCKS COUNTY,90965,91542,92514,96025,92172,45730,46027,46600,46596,46960,47592,49197,47956,43175,43509,43877,43673,44170,44528,45207,44660,146,164,179,193,191,196,174,134,4696,4650,4546,4282,4158,3903,3529,3325,4890,4550,4252,4006,3760,3490,3162,2890,4693,4718,4829,4850,4896,4858,4729,4597,72800,74088,75747,76938,78125,79673,82810,81670,49,33,19,†,†,1631,1333,905,†,†
VIRGINIA,BUENA VISTA CITY,1142,1151,1150,1189,1125,556,626,578,576,594,599,603,558,501,595,540,535,549,546,578,557,11,8,10,2,3,3,3,2,1,14,2,9,18,18,11,11,9,22,15,10,11,8,9,13,66,86,64,60,58,66,75,67,947,1062,999,1030,1053,1050,1083,1022,0,4,0,†,†,23,25,28,†,†
IOWA,BUENA VISTA COUNTY,3847,3910,3840,3750,3774,2103,2147,2097,1942,1943,1923,1869,1892,1986,1976,1936,1819,1811,1769,1710,1721,3,3,5,5,5,6,9,4,384,329,281,239,243,240,228,228,1483,1488,1450,1370,1335,1242,1134,1094,131,136,122,129,146,108,97,87,1986,2076,2091,1960,2025,2096,2111,2200,47,50,44,26,†,55,41,40,32,†
NEBRASKA,BUFFALO COUNTY,7553,7413,7400,7347,7217,4051,4079,4008,3987,3967,3966,3910,3819,3665,3673,3538,3566,3446,3453,3479,3398,50,48,50,43,44,45,56,60,68,70,77,94,85,71,80,65,1027,1065,1016,915,886,812,768,709,108,120,104,156,156,168,155,152,6373,6353,6189,6345,6242,6323,6330,6231,3,3,3,†,†,87,93,107,†,†
WISCONSIN,BUFFALO COUNTY,2238,2233,2269,2337,2344,1015,1024,1042,1114,1135,1135,1156,1169,1010,1032,1047,1124,1098,1062,1113,1109,3,5,4,5,3,3,9,6,9,10,11,13,12,18,16,12,30,33,35,34,30,29,43,22,13,14,17,21,21,16,15,12,1958,1981,2007,2165,2167,2131,2186,2226,0,1,3,†,†,12,12,12,†,†
KENTUCKY,BULLITT COUNTY,12964,12739,12666,12254,12202,6706,6714,6577,6513,6466,6503,6282,6140,6376,6319,6296,6286,6134,6038,5878,5704,39,53,48,45,27,20,18,18,67,64,64,56,49,39,36,38,276,243,204,158,142,131,96,75,133,147,118,101,112,100,89,67,12359,12364,12317,12439,12270,12251,11921,11646,4,7,3,†,†,204,155,119,†,†
GEORGIA,BULLOCH COUNTY,9607,9506,9221,9044,8884,5200,5119,4973,4987,4814,4690,4602,4525,4831,4787,4682,4620,4447,4314,4256,4204,19,20,19,16,4,8,7,6,181,182,99,121,93,90,77,115,521,477,419,383,302,280,238,219,3579,3422,3388,3358,3411,3305,3293,3298,5411,5482,5420,5436,5451,5321,5243,5091,16,18,14,11,†,304,305,296,282,†
ALABAMA,BULLOCK COUNTY,1637,1616,1678,1696,1785,‡,807,814,848,834,856,874,922,‡,750,765,789,782,822,822,843,‡,0,0,0,0,0,0,0,‡,0,1,0,0,0,0,1,‡,120,133,128,95,84,74,64,‡,1428,1440,1500,1518,1593,1621,1700,‡,8,5,9,3,1,1,0,‡,0,0,†,†,‡,1,0,†,†
NORTH CAROLINA,BUNCOMBE COUNTY,30289,30461,29946,30243,30187,15806,15709,15625,15537,15587,14653,14746,15299,14912,14798,14802,14752,14874,13921,14179,14888,106,93,92,115,126,127,131,127,434,404,404,460,433,395,367,317,3601,3354,3216,2523,2407,2244,2020,1835,2686,2677,2685,4326,4305,2847,2867,4178,22451,22399,22521,22865,23190,22961,23540,23730,57,43,23,†,†,1383,1537,1486,†,†
ILLINOIS,BUREAU COUNTY,5729,5789,5946,5974,5820,2844,2862,2917,2779,2657,2943,2964,2882,2706,2774,2747,2637,2800,2815,2816,2787,24,17,12,14,12,9,6,10,51,46,45,39,44,50,45,44,802,794,787,625,631,633,611,553,66,48,40,46,43,44,40,39,4468,4571,4620,4692,4727,5022,5078,5023,7,5,2,†,†,132,155,158,†,†
GEORGIA,BURKE COUNTY,4747,4728,4736,4759,4624,2356,2381,2466,2497,2464,2469,2437,2345,2110,2149,2206,2250,2198,2204,2277,2243,9,9,16,10,1,1,0,1,8,6,9,9,9,8,2,5,74,50,26,45,58,56,59,48,2942,3017,3093,3165,3134,3201,3234,3142,1325,1346,1449,1452,1460,1407,1419,1392,4,3,2,1,†,104,99,77,65,†
NORTH CAROLINA,BURKE COUNTY,14169,15649,14100,14586,14806,6971,7083,7231,7299,6847,6989,7179,7667,6564,6633,6737,6843,6506,6697,6918,7261,24,27,35,34,34,28,29,32,840,870,928,1009,960,1097,1182,1251,1477,1352,1227,966,878,849,856,804,737,782,779,1389,1377,899,925,1399,9861,10089,10386,10744,10104,10813,11105,11442,10,20,25,†,†,586,576,588,†,†
NORTH DAKOTA,BURKE COUNTY,242,250,245,274,264,179,141,140,135,138,128,141,133,142,128,113,107,112,117,133,131,6,3,2,5,5,6,3,0,2,2,2,2,2,2,1,1,14,5,3,5,5,2,2,1,4,3,3,4,0,0,0,0,293,253,240,226,238,235,268,262,0,1,1,†,†,2,2,2,†,†
NORTH DAKOTA,BURLEIGH COUNTY,11070,11133,11002,11008,10925,2901,5911,5786,5694,5700,5569,5610,5563,2875,5646,5495,5376,5433,5433,5398,5362,510,825,824,819,864,837,735,680,50,108,89,111,95,92,83,75,111,199,0,125,106,108,81,78,90,161,143,149,151,122,114,90,4880,10061,9948,9866,9917,9843,9995,10002,10,18,19,†,†,125,185,258,†,†
TEXAS,BURLESON COUNTY,2866,2801,2902,2904,3033,1498,1521,1515,1497,1441,1500,1503,1570,1339,1376,1372,1369,1360,1402,1401,1463,9,8,14,9,12,9,5,4,11,9,7,8,9,8,8,9,900,897,859,772,748,720,690,680,457,478,496,497,451,513,524,560,1406,1463,1483,1580,1581,1652,1677,1780,0,0,0,†,†,54,42,28,†,†
NEW JERSEY,BURLINGTON COUNTY,70981,70184,70452,71490,71767,35154,36351,36941,38151,38372,38463,38638,39108,33044,34689,34812,35720,35668,35832,36516,36599,157,138,130,172,217,142,175,178,3650,3765,3621,3505,3325,3353,3231,3120,5497,5190,4909,4676,4443,4272,3850,3751,14033,14942,15163,16042,16177,16366,16397,16381,43722,46037,47185,48946,49488,50162,51501,52277,179,165,157,134,127,960,803,588,396,263
TEXAS,BURNET COUNTY,7377,7332,7362,7325,7189,3754,3752,3782,3727,3673,3665,3705,3620,3505,3590,3641,3650,3659,3697,3620,3569,35,31,31,31,31,33,36,37,38,34,35,46,45,41,42,43,2586,2465,2435,2266,2121,2100,1983,1899,123,120,135,146,151,166,190,179,4322,4571,4694,4888,4984,5022,5074,5031,26,10,7,†,†,129,111,86,†,†
WISCONSIN,BURNETT COUNTY,2920,2612,2548,2275,2252,1233,1360,1343,1659,1328,1313,1192,1164,1273,1421,1374,1700,1284,1235,1083,1088,190,195,209,277,258,263,252,250,14,12,14,25,17,18,12,17,60,78,71,85,67,40,30,26,52,86,59,95,60,50,25,26,2070,2295,2260,2877,2210,2177,1956,1933,5,5,3,†,†,115,110,101,†,†
NEBRASKA,BURT COUNTY,1277,1347,1347,1328,1361,629,636,633,646,661,639,623,656,580,552,577,586,593,607,604,605,22,23,27,31,31,35,30,33,8,7,8,17,18,21,12,14,36,40,33,30,25,37,34,42,14,12,9,13,11,12,10,10,1103,1080,1109,1141,1169,1141,1141,1162,1,1,0,†,†,25,25,24,†,†
NEBRASKA,BUTLER COUNTY,1117,1157,1198,1150,1204,568,552,559,583,600,621,599,618,551,530,548,534,557,587,564,586,2,2,3,1,0,1,0,2,13,12,13,11,11,11,11,7,66,72,48,56,52,40,42,44,6,9,7,6,7,9,11,5,1027,984,1029,1043,1087,1147,1099,1146,0,0,0,†,†,5,3,7,†,†
OHIO,BUTLER COUNTY,59204,60315,59863,59381,58312,29274,29854,29707,28859,29795,29630,29430,29145,27926,28352,28242,27371,28171,28131,27840,27437,76,77,63,63,72,63,57,50,1373,1430,1413,1531,1579,1289,1203,1156,3293,3002,2785,2342,2211,2074,1852,1660,5693,5703,5609,5516,5647,5361,5144,4949,43918,45104,45141,46778,48457,48974,49014,48767,69,49,48,†,†,2778,2841,2890,†,†
MISSOURI,BUTLER COUNTY,6676,6596,6569,6503,6484,3600,3568,3516,3468,3472,3480,3399,3394,3423,3405,3371,3328,3247,3202,3216,3204,27,37,26,28,33,30,28,24,42,36,36,38,41,40,43,40,117,102,87,78,67,70,57,57,673,692,709,720,676,646,609,597,6115,6088,6020,5932,5902,5896,5878,5880,1,4,3,†,†,48,14,6,†,†
PENNSYLVANIA,BUTLER COUNTY,33035,33091,29105,31505,27625,13639,13858,14776,15019,15088,14539,14947,14526,12804,12849,13732,13872,13945,13627,13746,13539,31,29,40,48,55,45,66,49,302,288,300,276,269,232,227,190,228,217,225,224,199,196,204,170,378,388,404,359,358,362,358,329,25270,25607,27420,27984,28152,27331,27838,27327,6,7,6,†,†,228,171,113,†,†
ALABAMA,BUTLER COUNTY,3382,3347,3379,3429,3503,1696,1748,1783,1763,1724,1806,1734,1776,1549,1603,1585,1599,1606,1765,1672,1711,3,3,3,3,5,4,3,4,26,30,26,18,14,13,14,14,14,18,16,21,19,17,17,9,1960,1995,2029,2041,2025,2256,2081,2114,1212,1284,1288,1279,1267,1281,1291,1346,1,1,0,†,†,29,20,6,†,†
IOWA,BUTLER COUNTY,1842,1869,1874,1819,1790,1289,1276,1233,1181,1269,1293,1143,1125,1192,1200,1150,1116,1230,1222,1126,1146,0,0,0,0,4,3,0,1,10,9,14,12,26,28,23,20,22,30,23,21,72,79,24,21,10,14,11,16,15,19,10,16,2396,2376,2291,2203,2382,2386,2212,2213,5,2,2,5,†,38,45,42,40,†
KENTUCKY,BUTLER COUNTY,2143,2154,2116,2107,2267,1095,1095,1102,1097,1111,1110,1114,1155,1076,1061,1046,1030,1029,996,983,1006,3,3,3,2,3,4,3,3,7,5,7,8,8,9,5,3,89,70,53,29,36,35,27,16,25,15,23,26,29,25,27,30,2011,2035,2041,2062,2064,2033,2035,2109,0,0,0,†,†,36,28,21,†,†
KANSAS,BUTLER COUNTY,14527,14474,14507,14218,13693,7427,7525,7538,7436,7385,7343,7245,7222,6989,7119,7061,6840,6783,6632,6690,6584,147,152,159,157,215,196,181,154,253,232,218,194,212,201,180,165,843,813,763,731,503,490,458,370,214,208,189,181,279,262,229,213,12444,12727,12751,12577,12959,12826,12887,12904,18,28,22,24,†,497,484,497,412,†
IDAHO,BUTTE COUNTY,479,465,481,507,521,222,248,248,255,268,272,270,279,196,199,212,224,197,209,237,242,3,3,4,4,4,2,4,4,0,1,1,0,0,0,0,1,26,22,20,19,10,8,17,25,1,2,1,7,9,7,7,5,385,416,431,449,442,464,479,486,0,0,0,†,†,3,3,3,†,†
CALIFORNIA,BUTTE COUNTY,30960,32047,32531,32799,33145,16037,16105,16035,15675,16635,15910,16411,16796,15214,15140,15143,14709,15420,14635,15104,15484,776,927,935,950,869,916,930,1029,2130,2265,2306,2366,2456,2689,2714,2709,7061,6783,6452,5716,5367,5289,5365,5197,732,813,859,847,896,870,884,951,18718,18931,19263,19271,20356,20781,21622,22394,101,111,101,107,115,1733,1415,1262,1127,1996
SOUTH DAKOTA,BUTTE COUNTY,1698,1737,1634,1706,1673,912,889,866,857,838,778,864,864,810,831,843,840,837,808,842,809,48,56,67,70,63,53,59,41,8,7,4,5,7,4,6,6,94,98,78,52,51,38,45,38,7,2,3,12,5,4,8,5,1519,1514,1523,1558,1549,1487,1588,1583,0,0,0,†,†,46,43,34,†,†
GEORGIA,BUTTS COUNTY,3551,3545,3511,3519,3472,1697,1798,1878,1851,1781,1772,1764,1767,1675,1735,1729,1700,1633,1627,1658,1620,3,2,5,3,5,8,9,6,16,18,18,13,22,20,20,22,97,102,100,82,55,68,67,61,1075,1097,1120,1103,1104,1144,1136,1111,2073,2209,2266,2249,2228,2159,2190,2187,0,0,0,0,†,108,105,98,101,†
NORTH CAROLINA,CABARRUS COUNTY,33857,33600,32532,31254,29032,18383,17930,17410,16981,16742,16341,15103,14419,17178,16553,16384,15993,15653,15471,14135,13788,126,135,113,114,100,100,103,80,989,870,736,723,650,641,534,458,5258,4882,4606,4198,3989,3782,3469,2867,7117,6687,6465,7626,7332,5875,5415,5719,20735,20599,20619,20313,20324,21414,19717,19083,34,23,19,†,†,1302,1287,1236,†,†
WEST VIRGINIA,CABELL COUNTY,12552,12522,12346,12302,12325,6776,6741,7216,7099,6551,6420,6367,6369,6276,6212,6585,6633,6042,5957,5947,5970,40,31,28,33,32,35,39,41,117,109,121,109,127,132,118,116,163,133,120,101,71,72,78,77,986,1037,1094,1098,1129,1089,1041,1007,11291,11322,12262,12308,11234,11049,11038,11098,12,10,6,0,†,443,311,170,83,†
UTAH,CACHE COUNTY,23229,22334,22668,20642,20020,12488,12383,12195,10581,11357,11664,10545,10195,11857,11753,11638,10141,10950,10985,10097,9827,143,152,145,138,158,170,147,129,382,400,412,475,485,492,447,414,3154,3108,3015,2469,2696,2819,2299,2084,196,189,211,184,189,205,169,168,20061,19878,19688,17456,18779,18963,17580,17227,143,169,180,†,†,266,240,182,†,†
OKLAHOMA,CADDO COUNTY,6046,5881,5912,5937,5978,1716,3033,2934,3082,3057,3088,3094,3078,1667,2973,2799,2964,2824,2835,2856,2869,1401,2279,2390,2521,2487,2451,2389,2383,10,19,20,19,17,18,30,17,376,690,536,534,499,485,442,438,81,119,130,157,116,135,137,149,1424,2762,2531,2815,2762,2834,2952,2960,2,8,5,†,†,89,129,121,†,†
LOUISIANA,CADDO PARISH,42683,42610,42865,43019,43935,20567,21309,21443,21569,21517,21628,21734,22112,20320,21027,21114,21118,21102,21246,21296,21838,74,88,110,108,110,96,92,84,474,468,452,484,460,450,410,424,970,907,669,683,592,559,504,492,25850,27046,27066,27584,27487,27511,27439,27855,13052,13410,13695,13828,13970,14258,14585,15095,20,21,14,†,†,447,396,551,†,†
CALIFORNIA,CALAVERAS COUNTY,6312,6496,6751,6822,6830,3069,3164,3158,3301,3423,3373,3366,3428,2889,2909,2963,3014,3098,3107,3150,3199,104,119,129,139,136,170,167,163,82,96,98,98,102,142,130,129,931,879,854,766,687,690,684,624,59,57,66,73,78,73,83,84,4562,4712,4817,5045,5094,5405,5452,5627,14,10,16,17,23,206,200,141,177,401
LOUISIANA,CALCASIEU PARISH,34226,33996,34054,32247,31877,16684,16760,16783,16741,16693,16553,16575,16310,16125,16257,16111,16112,15992,15969,15672,15567,63,73,67,83,75,65,62,62,382,363,347,330,314,287,276,257,898,805,587,611,568,510,401,291,11345,11653,11604,11799,11740,11722,11164,11011,19617,19759,20045,20030,19988,19938,20344,20256,13,10,9,†,†,491,354,235,†,†
KENTUCKY,CALDWELL COUNTY,2092,2022,2032,1955,2074,1067,1063,1028,1056,1011,1022,1006,1023,1044,1014,995,991,974,980,947,960,5,4,3,3,13,11,15,13,11,10,11,11,4,2,3,4,29,28,17,18,4,3,3,3,161,135,130,143,134,132,122,140,1850,1859,1826,1872,1830,1854,1810,1823,1,0,0,†,†,54,41,36,†,†
TEXAS,CALDWELL COUNTY,6351,6244,7069,7044,6359,3536,3430,3418,3415,3364,3323,3177,3273,3229,3176,3156,3104,3052,3051,3034,3086,26,23,23,23,15,15,13,13,20,21,21,29,31,39,29,27,4289,4127,4020,3850,3704,3601,3481,3453,411,384,399,475,488,488,501,516,1921,1953,2015,2142,2178,2231,2187,2350,2,2,2,†,†,96,96,94,†,†
NORTH CAROLINA,CALDWELL COUNTY,13055,13092,12962,13099,13015,6247,6380,6429,6530,6596,6318,6339,6530,6119,6182,6326,6444,6472,6266,6383,6485,15,16,20,14,15,18,16,11,81,87,82,95,95,103,99,113,1056,1023,972,837,787,750,689,593,705,731,783,1244,1218,815,840,1185,10008,10216,10403,10784,10953,10898,11078,11113,2,2,3,†,†,499,487,492,†,†
MISSOURI,CALDWELL COUNTY,961,1030,1751,1776,1800,814,833,844,653,664,882,915,918,766,788,813,615,616,869,861,881,5,3,4,4,6,9,11,11,12,13,11,12,9,10,8,8,17,21,18,12,12,14,9,4,18,27,24,25,19,17,23,14,1516,1544,1586,1215,1234,1701,1725,1762,0,0,0,†,†,12,13,14,†,†
LOUISIANA,CALDWELL PARISH,1711,1715,1753,1818,1856,833,826,861,895,911,931,964,967,805,804,809,816,804,822,854,889,0,2,0,2,0,0,0,1,2,4,0,0,0,1,4,7,38,31,16,23,16,19,23,21,325,313,325,331,313,336,331,368,1255,1266,1321,1355,1386,1397,1460,1459,1,1,1,†,†,17,13,7,†,†
VERMONT,CALEDONIA COUNTY,4501,4982,4981,4996,3532,1674,1595,1654,1665,2481,2473,2761,3090,1548,1444,1481,1477,2273,2287,2056,2005,1,2,3,3,5,7,6,13,26,21,27,27,233,207,169,142,30,23,28,32,66,42,63,68,31,30,20,25,51,54,56,69,3103,2935,3020,3020,4362,4450,4523,4803,0,0,0,1,2,31,28,37,34,35
WEST VIRGINIA,CALHOUN COUNTY,1104,1126,1151,1153,1178,‡,‡,565,565,575,585,589,600,‡,‡,557,539,551,566,564,578,‡,‡,0,0,0,0,3,‡,‡,‡,1,3,4,4,1,‡,‡,‡,6,2,2,4,1,‡,‡,‡,4,6,5,6,3,‡,‡,‡,1106,1092,1115,1137,1145,‡,‡,‡,1,0,†,‡,‡,4,1,†
MICHIGAN,CALHOUN COUNTY,22173,22692,23031,23256,23640,10501,10646,10785,11306,11330,11893,12489,12503,9876,10088,10130,10480,10670,11032,11653,11669,119,132,144,174,163,167,211,218,509,482,451,486,506,482,480,477,1388,1392,1355,1072,1045,1077,1119,1051,3037,3133,3183,3957,4021,4074,4474,4476,14139,14518,14806,16097,16265,17125,17858,17950,10,9,14,†,†,1175,1068,962,†,†
ARKANSAS,CALHOUN COUNTY,627,651,689,733,754,281,295,302,319,328,355,370,389,267,256,275,308,323,334,363,365,2,2,3,3,4,5,5,5,0,0,0,1,3,3,3,0,31,23,31,25,23,21,21,22,150,154,151,175,181,171,182,197,365,372,392,416,440,489,522,530,0,0,0,7,†,0,0,0,0,†
ALABAMA,CALHOUN COUNTY,18563,18539,18428,18259,18298,9461,9539,9576,9484,9464,9439,9346,9373,8777,8902,9052,8973,8977,8935,8836,8874,43,45,44,49,46,38,33,36,136,140,120,115,121,115,102,113,647,622,690,659,578,521,458,429,4684,4875,4999,4906,4953,5032,4937,4966,12373,12489,12646,12728,12743,12668,12652,12703,23,19,6,†,†,332,251,123,†,†
GEORGIA,CALHOUN COUNTY,669,657,696,732,704,518,483,440,335,333,355,380,357,495,467,435,334,322,338,346,340,1,1,0,3,3,2,0,3,7,7,5,0,0,0,0,0,35,34,31,26,19,16,16,10,665,668,646,622,621,655,694,660,302,240,193,18,12,20,16,24,0,0,0,0,†,3,0,0,0,†
FLORIDA,CALHOUN COUNTY,2233,2246,2229,2227,2274,‡,‡,1145,1083,1094,1093,1079,1155,‡,‡,1104,1064,1101,1076,1094,1119,‡,‡,19,18,13,8,7,7,‡,‡,10,10,9,10,11,15,‡,‡,117,50,68,54,45,40,‡,‡,282,293,320,294,297,305,‡,‡,1711,1776,1785,1803,1813,1907,‡,‡,0,†,†,‡,‡,110,†,†
